ball_base_t1,10505.0,11881.0,11782.0,162.0,41.0,255.0
ball_base_t2,10272.0,12464.0,11759.0,162.0,38.0,255.0
ball_base_t3,7030.0,10374.0,12895.0,154.0,41.0,255.0
ball_base_t4,11493.0,12103.0,10117.0,166.0,48.0,255.0
ball_base_t5,9179.0,11803.0,11556.0,157.0,48.0,255.0
ball_blue_t1,11030.0,12343.0,11963.0,173.0,43.0,255.0
ball_blue_t2,11783.0,10923.0,10662.0,173.0,46.0,255.0
ball_blue_t3,10504.0,12305.0,12242.0,169.0,40.0,255.0
ball_blue_t4,10586.0,12247.0,12228.0,169.0,48.0,255.0
ball_blue_t5,11044.0,12803.0,12187.0,152.0,46.0,255.0
ball_yellow_purple_t1,9670.0,8127.0,13594.0,169.0,44.0,255.0
ball_yellow_purple_t2,11074.0,13688.0,12678.0,167.0,44.0,255.0
ball_yellow_purple_t3,11067.0,13947.0,13248.0,167.0,47.0,255.0
ball_yellow_purple_t4,11970.0,12866.0,9382.0,176.0,48.0,255.0
ball_yellow_purple_t5,10839.0,14065.0,12909.0,170.0,41.0,255.0
bigstuffedanimal_bunny_t1,11910.0,15538.0,13141.0,95.0,47.0,255.0
bigstuffedanimal_bunny_t2,11076.0,14249.0,14454.0,163.0,46.0,255.0
bigstuffedanimal_bunny_t3,14239.0,15224.0,11258.0,168.0,42.0,255.0
bigstuffedanimal_bunny_t4,13703.0,10003.0,16995.0,168.0,47.0,165.0
bigstuffedanimal_bunny_t5,12002.0,14987.0,13547.0,169.0,38.0,255.0
can_red_bull_small_t1,15114.0,15426.0,16440.0,165.0,44.0,255.0
can_red_bull_small_t2,15243.0,15523.0,16977.0,169.0,42.0,255.0
can_red_bull_small_t3,15090.0,15384.0,13751.0,162.0,46.0,255.0
can_red_bull_small_t4,15253.0,15482.0,16250.0,165.0,41.0,255.0
can_red_bull_small_t5,14438.0,15663.0,16184.0,173.0,38.0,255.0
cone_3_t1,11470.0,11849.0,12199.0,168.0,44.0,255.0
cone_3_t2,12335.0,9980.0,9923.0,179.0,42.0,255.0
cone_3_t3,11267.0,11681.0,12176.0,168.0,48.0,255.0
cone_3_t4,10855.0,10759.0,12273.0,172.0,48.0,255.0
cone_3_t5,11294.0,11820.0,12145.0,174.0,48.0,255.0
cup_metal_t1,12768.0,15303.0,14963.0,164.0,48.0,255.0
cup_metal_t2,13263.0,12303.0,14679.0,173.0,44.0,255.0
cup_metal_t3,13146.0,14642.0,14802.0,173.0,45.0,255.0
