ball_base_t1,10505.0,11881.0,11782.0,162.0,41.0,255.0
ball_base_t2,10272.0,12464.0,11759.0,162.0,38.0,255.0
ball_base_t3,7030.0,10374.0,12895.0,154.0,41.0,255.0
ball_base_t4,11493.0,12103.0,10117.0,166.0,48.0,255.0
ball_base_t5,9179.0,11803.0,11556.0,157.0,48.0,255.0
ball_basket_t1,10071.0,8930.0,12127.0,162.0,43.0,255.0
ball_basket_t2,10299.0,12578.0,12236.0,166.0,39.0,255.0
ball_basket_t3,10579.0,12765.0,12043.0,162.0,41.0,255.0
ball_basket_t4,11528.0,12237.0,10981.0,174.0,46.0,255.0
ball_basket_t5,10647.0,12642.0,11996.0,160.0,47.0,255.0
ball_blue_t1,11030.0,12343.0,11963.0,173.0,43.0,255.0
ball_blue_t2,11783.0,10923.0,10662.0,173.0,46.0,255.0
ball_blue_t3,10504.0,12305.0,12242.0,169.0,40.0,255.0
ball_blue_t4,10586.0,12247.0,12228.0,169.0,48.0,255.0
ball_blue_t5,11044.0,12803.0,12187.0,152.0,46.0,255.0
ball_transparent_t1,9364.0,11241.0,10734.0,172.0,46.0,255.0
ball_transparent_t2,9461.0,11463.0,10836.0,177.0,47.0,255.0
ball_transparent_t3,9642.0,8914.0,10768.0,174.0,44.0,255.0
ball_transparent_t4,8778.0,9060.0,11511.0,164.0,44.0,255.0
ball_transparent_t5,9082.0,11002.0,9671.0,159.0,45.0,255.0
ball_yellow_purple_t1,9670.0,8127.0,13594.0,169.0,44.0,255.0
ball_yellow_purple_t2,11074.0,13688.0,12678.0,167.0,44.0,255.0
ball_yellow_purple_t3,11067.0,13947.0,13248.0,167.0,47.0,255.0
ball_yellow_purple_t4,11970.0,12866.0,9382.0,176.0,48.0,255.0
ball_yellow_purple_t5,10839.0,14065.0,12909.0,170.0,41.0,255.0
basket_cylinder_t1,6898.0,8722.0,8583.0,176.0,47.0,255.0
basket_cylinder_t2,5339.0,8202.0,9660.0,172.0,48.0,252.0
basket_cylinder_t3,7519.0,8164.0,7697.0,179.0,46.0,255.0
basket_cylinder_t4,7458.0,8187.0,7944.0,169.0,41.0,255.0
basket_funnel_t1,9022.0,10745.0,10417.0,186.0,46.0,255.0
basket_funnel_t2,9023.0,11183.0,10901.0,176.0,41.0,255.0
basket_funnel_t3,10091.0,10182.0,9855.0,164.0,48.0,255.0
basket_funnel_t4,9550.0,10941.0,10382.0,173.0,42.0,255.0
basket_funnel_t5,8882.0,11262.0,11006.0,174.0,48.0,255.0
